zavolejte	13568
nedokážu	13566
svými	13561
bezva	13554
čaj	13539
vzadu	13490
duši	13489
životy	13475
nebudete	13460
volala	13453
většinou	13445
zůstane	13440
zavolal	13427
začátek	13407
přemýšlel	13401
jiná	13390
plány	13377
nim	13374
detektiv	13367
neslyšel	13367
totiž	13359
devět	13342
oheň	13341
cestou	13339
vzduchu	13336
krásný	13335
vraždu	13325
filmu	13300
pán	13280
nemusíte	13276
slyšeli	13272
zuby	13268
kate	13260
ukradl	13255
skončila	13251
vzkaz	13236
kus	13222
tihle	13219
vidí	13219
potkal	13216
poznal	13211
přijel	13210
osud	13204
šílený	13176
sice	13175
sedí	13163
sranda	13163
ženská	13159
lhal	13120
dávat	13117
pokračuj	13103
sotva	13100
ženě	13095
chránit	13094
útok	13094
fungovat	13092
zná	13086
pochopit	13085
děvče	13081
činu	13071
opustit	13052
potřeba	13039
slíbil	13030
ublížit	13019
kdokoliv	13008
něčem	12998
mluv	12993
sehnat	12993
volá	12989
otcem	12987
vesmíru	12987
test	12973
těší	12945
udržet	12930
věku	12921
viď	12915
energie	12913
hrál	12905
vším	12889
požádal	12877
zbraní	12870
místní	12853
bezpečnostní	12844
celém	12840
letadlo	12836
narozeniny	12836
poznávám	12831
umřít	12821
lásky	12814
něčím	12777
skutečný	12771
jel	12768
operaci	12757
měsíci	12717
stala	12702
víkend	12695
uvidí	12677
vezměte	12673
zaplatit	12650
mladá	12640
fotku	12627
něčeho	12623
pusťte	12617
podstatě	12616
teprve	12609
pamatuju	12608
klíče	12603
zůstal	12592
miloval	12586
podívám	12577
věří	12567
nebezpečné	12564
směrem	12555
ponětí	12538
každá	12536
jiným	12534
zmizel	12530
parku	12528
umím	12514
silný	12507
tátu	12507
přinesl	12503
dokážeš	12500
večeře	12499
několika	12493
ničeho	12474
špatného	12431
důvodu	12420
obličej	12417
idiot	12411
nemyslel	12404
školu	12390
snadné	12374
vzhledem	12361
chuť	12353
začalo	12342
souhlasím	12322
korekce	12308
hodný	12306
umíš	12302
drahoušku	12297
milionů	12283
vybrat	12277
sestru	12274
otci	12273
těhotná	12253
píše	12239
poznat	12232
operace	12222
hrozné	12216
zákon	12214
účet	12206
minuty	12204
krku	12197
týdnů	12191
zapomněla	12186
skutečné	12173
znal	12172
naštvaná	12170
pěti	12166
potřebují	12163
podívejme	12161
stůj	12152
ukázal	12146
slib	12131
utekl	12126
minulosti	12119
stavu	12119
zápas	12118
vypadám	12111
paráda	12107
dávej	12106
léky	12103
oblasti	12100
zbývá	12098
jej	12084
snažit	12084
zastav	12072
vědí	12046
nepotřebuju	12030
nemusím	12028
vítej	12028
bavit	12027
starost	12021
nehoda	12001
stop	11999
kamarádka	11993
trvalo	11986
knihy	11969
rychleji	11965
tímto	11963
cítila	11960
líbilo	11943
snažíš	11943
dvacet	11913
dobou	11910
nemohli	11892
obchodu	11889
chování	11882
menší	11879
záda	11872
udělejte	11868
fér	11829
zlé	11827
plné	11825
mohly	11811
mozku	11793
sestry	11782
výsledky	11782
síly	11779
každopádně	11769
kamaráde	11757
koule	11751
nevypadá	11749
pusu	11742
dále	11724
promluvíme	11721
získal	11701
skrz	11697
všemi	11694
síla	11693
nemožné	11680
časem	11674
strany	11660
kdykoliv	11639
poděkovat	11622
znát	11619
stává	11609
naštvaný	11606
tisíce	11601
doba	11597
dokázat	11589
pravý	11588
zranění	11560
vaším	11555
pomocí	11550
vybral	11538
zlý	11537
hoši	11521
dostanete	11481
dávám	11480
hlavou	11470
chovat	11456
přijdou	11450
víno	11448
poručíku	11446
četl	11441
bratře	11414
nebojte	11412
hádat	11390
škola	11383
čekám	11368
ztratila	11358
matce	11355
stanici	11350
prvním	11344
prezident	11338
chytrý	11328
hledal	11320
rozhovor	11319
pokus	11311
vezmeme	11310
nedávno	11308
ehm	11307
mámě	11293
připravte	11291
mužem	11284
přemýšlet	11284
blíží	11273
vstávej	11252
zapomenout	11240
spí	11236
poblíž	11222
například	11214
sny	11211
přijdeš	11208
boj	11190
posaďte	11187
zůstanu	11178
vyřešit	11175
číst	11167
normálně	11166
hodit	11159
blíž	11150
hledá	11137
pozici	11118
vypadají	11115
nejen	11104
tomuhle	11096
gay	11094
obvinění	11085
otázek	11085
učit	11085
program	11082
zima	11074
věřil	11072
koukej	11066
řekněme	11063
žil	11056
postavit	11047
dělejte	11044
stejnou	11041
slyšíte	11036
zemře	11025
pokračujte	11011
řečeno	11005
pravé	11004
muselo	10998
adresu	10996
domácí	10991
ptal	10987
hledáme	10975
zdi	10972
seznamu	10968
umřel	10968
věříš	10964
vrátíme	10962
prsten	10954
soud	10949
dívky	10944
najde	10943
ctihodnosti	10934
rozhodla	10928
sklapni	10915
slibuji	10910
daří	10900
bydlí	10893
tvrdě	10889
postarat	10878
vraťte	10874
matko	10866
nechali	10859
srdci	10858
špatná	10856
hotovo	10855
nefunguje	10845
nůž	10844
detektive	10839
zastavte	10835
přání	10833
soudce	10830
chytit	10829
kontrolu	10808
včetně	10801
řeknete	10800
naděje	10798
speciální	10795
ulice	10794
věřte	10791
titulky	10788
nezapomeň	10773
vzduch	10769
nebe	10761
chlapce	10740
důležitý	10722
ztratit	10704
skončit	10703
cítí	10692
válce	10678
čest	10672
léta	10661
změní	10649
stačilo	10643
záznam	10639
tlak	10634
matkou	10630
schopnosti	10629
pít	10625
video	10623
vzpomínám	10623
och	10621
déle	10617
milá	10611
zvuk	10603
potřebovala	10600
lidské	10595
bojíš	10589
krále	10585
zavři	10578
známe	10578
šílené	10578
zvládneš	10570
kolo	10563
metrů	10558
poslala	10552
lhát	10548
vypadalo	10547
nenávidím	10545
okamžik	10536
nesmíš	10522
necháme	10511
pracuju	10502
kruci	10495
duch	10491
hudba	10484
čísla	10479
bolesti	10476
neuvěřitelné	10472
otevřete	10461
vzpomínáš	10456
moře	10432
vezme	10432
fuk	10429
okolí	10423
správný	10422
budoucnosti	10418
každém	10412
kód	10410
